1;Africa do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120252;110730;0;0;0;0;1605;1085;0;0;0;0;1200;665;0;0;0;0;1876;1124;12014;7685;10689;7312;12754;8635;14379;10961;11839;9400;37353;31729;38796;34605;74388;71839;67758;68254;43104;40489;13125;13209;7154;5841;22029;17551;21618;18334;0;0
2;Alemanha;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1170;2497;2832;2704;4521;7206;4407;4792;13185;22088;2880;1901;0;0;0;0;0;0;0;0;0;0;0;0;600;1791;0;0;0;0;0;0;60850;68950;0;0;0;0;0;0;0;0;0;0;0;0;6496;46692;6540;75902;0;0;80;652;0;0
3;Argentina;0;0;0;0;0;0;3600;1350;10200;3500;6;5;0;0;0;0;2790;2850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1575080;713219;2452094;3673253;224130;163512;1901597;1339369;1875689;1367706;506860;499644;10200;6800;2950;3540;0;0;708655;549282;1050503;830357;2796195;2428563;2057726;1994801;2003660;1845406;2022110;1659478;1379960;869223;0;0;2237000;994132;850000;658747;974970;870222;1775000;1535250;1297680;1095590;0;0;0;0;108000;138240;0;0;0;0;0;0;0;0;0;0;59028;80898;72900;90518;2998;3139;0;0
4;Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;348;0;0;0;0;35210;16029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3264;3254;0;0;0;0;0;0;0;0;0;0;1333;1467;0;0;666;655
5;Canadá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;233;0;0;0;0;0;0;0;0;0;0;19728;4558;26404;12195;21665;8124;995;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Coreia do Sul, República;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158204;117269;0;0;0;0;303420;250582;112762;90300;5141;1800;8255;2645;0;0;5400;2145;4805;1344;7379;2365;0;0;0;0;735;270;16661;17249;15080;18097;130902;136380;542548;577061;176796;227252;12655;14784;85145;49712;30022;44524;28927;41276;77955;99441;0;0
7;Coreia do Norte, República;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56000;49405;25100;20413;11560;9062;19071;8389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16704;24698;15651;22621;0;0;0;0;0;0;0;0
8;Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;79000;100000;82500;0;0;5050;2940;158480;101920;563267;423616;476840;374322;118194;133715;0;0;136;253;0;0;1391570;1502228;27000;28350;0;0;0;0;0;0;0;0;225000;292500;100000;130000;0;0;1015000;3003445;0;0;0;0;0;0;0;0;23790;29024;94940;183525;0;0;0;0;0;0
9;China;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5338;1465;0;0;0;0;4200;1715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2475;2098;0;0;0;0
10;Dinamarca;0;0;34;16;20;8;80;38;0;0;0;0;0;0;0;0;0;0;49;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Espanha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4617;2836;3058;955;2208;1945;3986;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9588;8215;0;0;0;0;0;0;0;0;422;806;0;0
